Authors,Title,Abstract,DOI
"Sezgin, Emre; Lin, Simon","Technology-Based Interventions, Assessments, and Solutions for Safe Driving Training for Adolescents: Rapid Review","Background: Safe driving training for adolescents aims to prevent injury and promote their well-being. In that regard, information and communication technologies have been used to understand adolescent driving behavior and develop interventions. Objective: The purpose of this review is to explore and discuss existing approaches to technology-based driving interventions, driving assessments, and solutions in the literature. Methods: We searched the Web of Science and PubMed databases following a review protocol to collect relevant peer-reviewed journal articles. Inclusion criteria were (1) being published in the English language, (2) being published in a peer-reviewed journal, (3) testing the driving behavior of teens with technology-based intervention methods, and (4) being published between January 2000 and March 2018. We appraised the articles by reading their abstracts to select studies matching the inclusion criteria and reading the full text of articles for final refinement. Results: Initial keyword searches on technology-based solutions resulted in 828 publications that we refined further by title screening (n=131) and abstract evaluation against inclusion criteria (n=29). Finally, we selected 16 articles that met the inclusion criteria and examined them regarding the use of technology-based interventions, assessments, and solutions. Use of built-in tracking devices and installation of black box devices were widely used methods for capturing driving events. Smartphones were increasingly adapted for data collection, and use of gamification for intervention design was an emerging concept. Visual and audio feedback also were used for intervention. Conclusions: Our findings suggest that social influence is effective in technology-based interventions; parental involvement for promoting safe driving behavior is highly effective. However, the use of smartphones and gamification needs more study regarding their implementation and sustainability. Further developments in technology for predicting teen behavior and programs for behavioral change are needed.",10.2196/11942
"Cho, Siu-Yeung; Chen, Ningyuan; Hua, Xiuping",Developing a Vehicle Networking Platform Based on Blockchain Technology,"Blockchain technology has been developing very rapidly through the entire world and is widely seen as one of the most disruptive forces in modern businesses. The applications of blockchain technology to the finance, insurance and automobile industries create extra values in innovation and motivation to the business. This paper is to describe the research and development work called iCarChain which is based on vehicle networking and blockchain technology, through distributed ledger, consensus mechanism, smart contract and other underlying architectures, using open and transparent value acquisition and an artificial intelligence based allocation algorithm to achieve value realization of data on vehicle and driving behavior. Each user (vehicle owner or driver) is referred to install an intelligent OBD device. The device captures the real-time data from vehicles to produce value identification. With such technology, the values of data acquisition and transparent can be transferred through the token carriers called iCarToken which is an incentive unit launched for users to contribute their behavior value, which is generated by blockchain and smart contract, and is gained through the value of contribution behavior.",10.1007/978-3-030-23404-1_13
"Dong, Chiyu; Chen, Yilun; Dolan, John M.",Interactive Trajectory Prediction for Autonomous Driving via Recurrent Meta Induction Neural Network,"Interactive driving is challenging but essential for autonomous cars in dense traffic or urban areas. Proper interaction requires understanding and prediction of future trajectories of all neighboring cars around a target vehicle. Current solutions typically assume a certain distribution or stochastic process to approximate human-driven cars' behaviors. To relax this assumption, a Recurrent Meta Induction Network (RMIN) framework is developed. The original Conditional Neural Process (CNP) on which this is based does not consider the sequence of the conditions, due to the permutation invariance requirements for stochastic processes. However, the sequential information is important for the driving behavior estimation. Therefore, in the proposed method, a recurrent neural cell replaces the original demonstration sub-net. The behavior estimation is conditioned on the historical observations for all related cars, including the target car and its surrounding cars. The method is applied to predict the lane change trajectory of a target car in dense traffic areas. The proposed method achieves better results than previous methods and thanks to the meta-learning framework, it can use a smaller dataset, putting fewer demands on autonomous driving data collection.",
"Xie, Peng; Du, Li; Zhou, Bing; Yu, Yongyan; Du, Huanhuan; Cui, Lianghao; Xu, Hao",Design and Implementation of Vehicle Data real-time Acquisition System,"Different drivers produce different characteristics of driving data, for different requirements of the vehicle reliability, safety and comfort, the driving style is analyzed according to the driving data collected by the vehicle. This paper presents and designs a platform of vehicle operation data real-time acquisition based on UDS diagnosis. The platform uses MCU and CAN controller to build communication modules, and with PC to control data collection, display and preservation. The overall design process is systematically elaborated in this paper, including the design method of vehicle embedded data acquisition terminal and PC monitoring terminal, focusing on the design of platform communication protocol. The test results show that the platform satisfies general vehicle data acquisition requirements.",10.1088/1742-6596/1176/5/052059
"Xiong, Hui; Wang, Yinghan; Ge, Qiang; Gu, Ziqing; Cui, Mingyang; Wang, Jianqiang; Li, Keqiang; Xu, Qing",Preliminary establishment and analysis of automated driving benchmark in China,"In order to promote the localization of Automated Driving (AD) in China, it is necessary to collect large-scale traffic scene data with Chinese characteristic for future analysis. In this paper, we propose the methodologies and rules of establishing AD benchmark involving how to configure sensors, how to design the collection schema to show Chinese traffic characteristics and the rules of elaborating distinctive scenes and routes, what to label, and it is also demonstrated that the benchmark can support the future application of extended AD research. Data collection lasted about one month covering diverse scene data such as campus, highway, park, etc. from three representative Chinese cities and driving data from 30 different drivers. Moreover, some statistical results and analyses are produced in accordance with the designed methodologies as instances of potential application. Up to now, the dataset contains about 7,000 labelled image frames and corresponding LiDAR, GPS and Controller Area Network (CAN) data. Labels cover scene type, road user, traffic sign, traffic light, and lane marker. This benchmark can help researchers better understand Chinese traffic situation in aspects of environmental perception, driving behavior analysis, risk assessment, automated vehicle decision and control.",10.1051/matecconf/201925902002
"Qi, Geqi; Wu, Jianping; Zhou, Yang; Du, Yiman; Jia, Yuhan; Hounsell, Nick; Stanton, Neville A.",Recognizing driving styles based on topic models,"With the explosion of information in our current era, senders of information increasingly need to target their messages to recipients. However, messages within transportation systems, including traffic information and commercial advertisements, tend to be transmitted to all drivers indiscriminately. This is because the information providers (such as other vehicles, roads, facilities, buildings etc.), can hardly recognize the variations within drivers, who should be treated differently as information recipients. As a result of the rapid development of data collection technologies and machine learning techniques in recent years, extraction and recognition of drivers' unique driving style from actual driving behaviour data become possible. In this paper, two kinds of topic models are investigated: mLDA and mHLDA, to discover distinguishable driving style information with hidden structure from the real-world driving behaviour data. The results show that the proposed models can successfully recognize the differences between driving styles. The study is of great value for providing deep insight into the underlying structure of driving styles and can effectively support the recognition of drivers with different driving styles.",10.1016/j.trd.2018.05.002
"Li, Zhengping; Zhang, Kai; Chen, Bokui; Dong, Yuhan; Zhang, Lin",Driver identification in intelligent vehicle systems using machine learning algorithms,"This study proposes an applicable driver identification method using machine learning algorithms with driving information. The driving data are collected by a 3-axis accelerometer, which records the lateral, longitudinal and vertical accelerations. In this research, a data transformation way is developed to extract interpretable statistics features from raw 3-axis sensor data and utilise machine learning algorithms to identify drivers. To eliminate the bias caused by the sensor installation and ensure the applicability of their approach, they present a data calibration method which proves to be necessary for a comparative test. Four basic supervised classification algorithms are used to perform on the data set for comparison. To improve classification performance, they propose a multiple classifier system, which combines the outputs of several classifiers. Experimental results based on real-world data show that the proposed algorithm is effective on solving driver identification problem. Among the four basic algorithms, random forests (RFs) algorithm has the greatest performance on accuracy, recall and precision. With the proposed multiple classifier system, a greater performance can be achieved in small number of drivers' groups. RFs algorithm takes the lead in running speed. In their experiment, ten drivers are involved and over 5,500,000 driving records per driver are collected.",10.1049/iet-its.2017.0254
"Christopoulos, Stavros-Richard G.; Kanarachos, Stratis; Chroneos, Alexandcr","Learning Driver Braking Behavior Using Smartphones, Neural Networks and the Sliding Correlation Coefficient: Road Anomaly Case Study","This paper focuses on the automated learning of driver braking ""signature"" in the presence of road anomalies. Our motivation is to improve driver experience using preview information from navigation maps. Smartphones facilitate, due to their unprecedented market penetration, the large-scale deployment of advanced driver assistance systems. On the other hand, it is challenging to exploit smartphone sensor data because of the fewer and lower quality signals, compared to the ones on board. Methods for detecting braking behavior using smartphones exist, however, most of them focus only on harsh events. Additionally, only a few studies correlate longitudinal driving behavior with the road condition. In this paper, a new method, based on deep neural networks and the sliding correlation coefficient, is proposed for the spatio-temporal correlation of road anomalies and driver behavior. A unique deep neural network structure, that requires minimum tuning, is proposed. Extensive field trials were conducted and vehicle motion was recorded using smartphones and a data acquisition system, comprising an inertial measurement unit and differential GPS. The proposed method was validated using the probabilistic Receiver Operating Characteristics method. The method proves to be a robust and flexible tool for self-learning driver behavior.",10.1109/TITS.2018.2797943
"Dhahir, Bashar; Hassan, Yasser",Studying Driving Behavior on Horizontal Curves using Naturalistic Driving Study Data,"Many studies have been conducted to develop models to predict speed and driver comfort thresholds on horizontal curves, and to evaluate design consistency. The approaches used to develop these models differ from one another in data collection, data processing, assumptions, and analysis. However, some issues might be associated with the data collection that can affect the reliability of collected data and developed models. In addition, analysis of speed behavior on the assumption that vehicles traverse horizontal curves at a constant speed is far from actual driving behavior. Using the Naturalistic Driving Study (NDS) database can help overcome problems associated with data collection. This paper aimed at using NDS data to investigate driving behavior on horizontal curves in terms of speed, longitudinal acceleration, and comfort threshold. The NDS data were valuable in providing clear insight on drivers' behavior during daytime and favorable weather conditions. A methodology was developed to evaluate driver behavior and was coded in Matlab. Sensitivity analysis was performed to recommend values for the parameters that can affect the output. Analysis of the drivers' speed behavior and comfort threshold highlighted several issues that describe how drivers traverse horizontal curves that need to be considered in horizontal curve design and consistency evaluation.",10.1177/0361198118784384
"Raju, Narayana; Kumar, Pallav; Jain, Aayush; Arkatkar, Shriniwas S.; Joshi, Gaurang",Application of Trajectory Data for Investigating Vehicle Behavior in Mixed Traffic Environment,"The research work reported here investigates driving behavior under mixed traffic conditions on high-speed, multilane highways. With the involvement of multiple vehicle classes, high-resolution trajectory data is necessary for exploring vehicle-ollowing, lateral movement, and seeping behavior under varying traffic flow states. An access-controlled, mid-block road section was selected for video data collection under varying traffic flow conditions. Using a semi-automated image processing tool, vehicular trajectory data was developed for three different traffic states. Micro-level behavior such as lateral placement of vehicles as a function of speed, instant responses, vehicle-following behavior, and hysteresis phenomenon were evaluated under different traffic flow states. It was found that lane-wise behavior degraded with increase in traffic volume and vehicles showed a propensity to move towards the median at low flow and towards the curb-side at moderate and heavy flows. Further, vehicle-following behavior was also investigated and it was found that with increase in flow level, vehicles are more inclined to mimic the leader vehicle's behavior. In addition to following time, perceiving time of subject vehicle for different leading vehicles was also evaluated for different vehicle classes. From the analysis, it was inferred that smaller vehicles are switching their leader vehicles more often to escape from delay, resulting in less following and perceiving time and aggressive gap acceptance. The present research work reveals the need for high-quality, micro-level data for calibrating driving behavior models under mixed traffic conditions.",10.1177/0361198118787364
"Gershon, Pnina; Ehsani, Johnathon P.; Zhu, Chunming; Sita, Kellienne R.; Klauer, Sheila; Dingus, Tom; Simons-Morton, Bruce",Crash Risk and Risky Driving Behavior Among Adolescents During Learner and Independent Driving Periods,"Purpose: Novice adolescents' crash rates are highly elevated early in licensure, despite substantial practice driving during the learner period. The objectives of this study were to examine the variability in measures of driving risk among adolescents during the learner and early independent driving periods and evaluate how risk varies by driving experience, gender, time of day, and road surface conditions. Methods: Objective driving data were collected in a naturalistic cohort study of 90 adolescent drivers with learner driving permit and 131 experienced adult drivers. Participants' private vehicles were equipped with data acquisition system documenting driving kinematics, miles driven, and video recordings of the driver and the driving environment. Crash/near-crash (CNC) and kinematic risky driving (KRD) rates were calculated during the learner and early independent driving periods by gender (female/male), time of day (day/night), and road surface conditions (wet/dry) for adolescents and adults. Results: CNC and KRD rates of adolescents were similar to adult drivers during the learner period (CNC: incident rate ratio [IRR] = 1.67, confidence interval [CI] = .98-2.82 and KRD: IRR = 1.04, CI = .78-1.40, respectively), but dramatically higher in the first year of independent driving (CNC: IRR = 6.51, CI = 4.03-10.51 and KRD: IRR = 3.95, CI = 2.96-5.26, respectively), and particularly elevated the first 3 months of licensure. Adolescent KRD rates were higher for males than females and invariably higher than adult rates during day and night, wet and dry conditions. Conclusions: While the learner driving period was relatively safe for adolescents, the transition to independent driving was typified by a dramatic increase in risk among adolescents that was higher than adult rates overall and under varying driving conditions. (C) 2018 Society for Adolescent Health and Medicine. All rights reserved.",10.1016/j.jadohealth.2018.04.012
"Gershon, Pnina; Ehsani, Johnathon; Zhu, Chunming; O'Brien, Fearghal; Klauer, Sheila; Dingus, Tom; Simons-Morton, Bruce",Vehicle ownership and other predictors of teenagers risky driving behavior: Evidence from a naturalistic driving study,"Objective: Risky driving behavior may contribute to the high crash risk among teenage drivers. The current naturalistic driving study assessed predictors for teenagers' kinematic risky driving (KRD) behavior and the interdependencies between them. Method: The private vehicles of 81 novice teenage drivers were equipped with data acquisition system that recorded driving kinematics, miles driven, and video recordings of the driver, passengers and the driving environment. Psychosocial measures were collected using questionnaires administered at licensure. Poisson regression analyses and model selection were used to assess factors associated with teens' risky driving behavior and the interactions between them. Results: Driving own vs shared vehicle, driving during the day vs at night, and driving alone vs with passengers were significantly associated with higher KRD rates (Incidence rate ratios (IRRs) of 1.60, 1.41, and 1.28, respectively). Teenagers reporting higher vs lower levels of parental trust had significantly lower KRD rates (IRR = 0.58). KRD rates were 88% higher among teenagers driving with a passenger in their own vehicle compared to teenagers driving with a passenger in a shared vehicle. Similarly, KRD rates during the day were 74% higher among teenagers driving their own vehicle compared to those driving a shared vehicle. Conclusions: Novice teenagers' risky driving behavior varied according to driver attributes and contextual aspects of the driving environment. As such, examining teenagers' risky driving behavior should take into account multiple contributing factors and their interactions. The variability in risky driving according to the driving context can inform the development of targeted interventions to reduce the crash risk of novice teenage drivers.",10.1016/j.aap.2018.06.001
"Kamaluddin, Noor Azreena; Andersen, Camilla Sloth; Larsen, Mette Kathrine; Meltofte, Katrine Rabjerg; Varhelyi, Andras",Self-reporting traffic crashes - a systematic literature review,"Purpose: A traffic safety analysis that is based on registered crashes often suffers from underreporting, which may result in biased conclusions and lead to misguided crash-prevention strategies. Self-reporting traffic crashes is a complementary method to obtain crash information that is often not available in official databases. By surveying studies from around the world, this paper aims to map the current practices in the collection of data from self-reporting traffic crashes. Method: A systematic literature search was carried out in three databases, ScienceDirect, Scopus and Transport Research International Documentation (TRID), resulting in 134 reviewed studies. Results: Self-reported crash studies were found to be more common in Europe, North America and Australasia, but there are few studies in developing countries. The reviewed studies mostly focused on adult road users (i.e. legal age of obtaining driving license and with no upper limit) and car users. Questionnaires (either paper based or online) were the most often used method, and 1 year was the most common recall period used. Regardless of its drawbacks, the reviewed studies showed that researchers 'trust' self-reports. Conclusion: More studies should be conducted, especially targeting adolescent and young adults (age of 15-30 years) and vulnerable road users (VRUs). Developing countries should increase their efforts when it comes to using self-reporting to better assess the actual traffic safety situation and produce knowledge-based appropriate safety measures. Utilisation of smartphone application to assist data collection in self-reporting study for in-depth crash analysis should be explored further.",10.1186/s12544-018-0301-0
"Freidlin, Raisa Z.; Dave, Amisha D.; Espey, Benjamin G.; Stanley, Sean T.; Garmendia, Marcial A.; Pursley, Randall; Ehsani, Johnathon P.; Simons-Morton, Bruce G.; Pohida, Thomas J.",Measuring Risky Driving Behavior Using an mHealth Smartphone App: Development and Evaluation of gForce,"Background: Naturalistic driving studies, designed to objectively assess driving behavior and outcomes, are conducted by equipping vehicles with dedicated instrumentation (eg, accelerometers, gyroscopes, Global Positioning System, and cameras) that provide continuous recording of acceleration, location, videos, and still images for eventual retrieval and analyses. However, this research is limited by several factors: the cost of equipment installation; management and storage of the large amounts of data collected; and data reduction, coding, and analyses. Modern smartphone technology includes accelerometers built into phones, and the vast, global proliferation of smartphones could provide a possible low-cost alternative for assessing kinematic risky driving. Objective: We evaluated an in-house developed iPhone app (gForce) for detecting elevated g-force events by comparing the iPhone linear acceleration measurements with corresponding acceleration measurements obtained with both a custom Android app and the in-vehicle miniDAS data acquisition system (DAS; Virginia Tech Transportation Institute). Methods: The iPhone and Android devices were dashboard-mounted in a vehicle equipped with the DAS instrumentation. The experimental protocol consisted of driving maneuvers on a test track, such as cornering, braking, and turning that were performed at different acceleration levels (ie, mild, moderate, or hard). The iPhone gForce app recorded linear acceleration (ie, gravity-corrected). The Android app recorded gravity-corrected and uncorrected acceleration measurements, and the DAS device recorded gravity-uncorrected acceleration measurements. Lateral and longitudinal acceleration measures were compared. Results: The correlation coefficients between the iPhone and DAS acceleration measurements were slightly lower compared to the correlation coefficients between the Android and DAS, possibly due to the gravity correction on the iPhone. Averaging the correlation coefficients for all maneuvers, the longitudinal and lateral acceleration measurements between iPhone and DAS were r(lng) =0.71 and r(lat) =0.83, respectively, while the corresponding acceleration measurements between Android and DAS were r(lng) =0.95 and r(lat) =0.97. The correlation coefficients between lateral accelerations on all three devices were higher than with the corresponding longitudinal accelerations for most maneuvers. Conclusions: The gForce iPhone app reliably assessed elevated g-force events compared to the DAS. Collectively, the gForce app and iPhone platform have the potential to serve as feature-rich, inexpensive, scalable, and open-source tool for assessment of kinematic risky driving events, with potential for research and feedback forms of intervention.",10.2196/mhealth.9290
"Chen, Jingren; Wu, Yefu; Huang, Haojun; Wu, Bing; Hou, Guolin",Driving-data-driven Platform of Driving Behavior Spectrum for Vehicle Networks<bold> </bold>,"It is important to improve traffic safety by studying driving behavior. However, the research of driving behavior classifying method is still not perfect due to lack of a quantitative analysis tool to divide the driving behavior of different drivers into diverse levels of safety. This paper presents a driving-data-driven platform of driving behavior spectrum for vehicle networks. The proposed platform works in four stages. First, the evaluation indexes and the characteristic indexes of the driving behavior spectrum are defined. Second, the improved k-means algorithm is used to analyze the driving styles, and the driving skills were analyzed using the regression learning. Then, the basic driving data acquisition scheme of the driving behavior spectrum built on vehicle networks is designed, and the data preprocessing method is proposed. Finally, an analysis tool is developed. The presented platform can significantly improve the driving behavior research and provide references for management departments to formulate strategies for improving traffic safety.<bold> </bold>",10.1109/HPCC/SmartCity/DSS.2018.00099
"Kataoka, Kotaro; Gangwar, Saurabh; Mudda, Karthik Yadav; Mandal, Souraj",A Smartphone-based Probe Data Platform for Road Management and Safety in Developing Countries,"In the developing countries, it is challenging to understand the road conditions and driving behavior due to the high cost and unavailability of appropriate equipment. Taking the advantage of collective intelligence recorded by cheap and widely-available smartphones, this paper proposes a probe data platform for sensing, detecting and visualizing road roughness and driving behavior using smartphones and cloud computing. Our implementation has been deployed 1) to collect real driving records on different roads in Hyderabad city in India, and 2) to visualize significant difference in terms of road conditions as well as driving behavior. This research work aims to establish a platform for better road planning, management and safety through distributed data collection and data analytics.",10.1109/ICDMW.2018.00095
